기간	자치구	자살 사망자수	자살 사망자수	자살 사망자수	자살률(10만명당)	자살률(10만명당)	자살률(10만명당)
기간	자치구	계	남자	여자	계	남자	여자
2018	합계	2,172	1,475	697	22.5	31.3	14.2
2018	종로구	30	22	8	20.2	30.3	10.6
2018	중구	24	17	7	19.8	28.4	11.4
2018	용산구	51	33	18	23.3	31	16
2018	성동구	61	40	21	20.3	27	13.7
2018	광진구	78	55	23	22.2	32.2	12.8
2018	동대문구	87	58	29	25.4	33.9	16.9
2018	중랑구	103	77	26	25.8	38.8	12.9
2018	성북구	107	72	35	24.8	34.2	15.8
2018	강북구	86	60	26	27.2	38.8	16.1
2018	도봉구	78	54	24	23.1	32.7	13.9
2018	노원구	138	95	43	25.4	36	15.4
2018	은평구	100	61	39	21	26.4	15.9
2018	서대문구	75	52	23	24.6	35.3	14.6
2018	마포구	75	48	27	20.4	27.5	14
2018	양천구	86	64	22	18.6	28.1	9.4
2018	강서구	140	94	46	23.6	32.6	15.1
2018	구로구	111	79	32	27.5	39.6	15.7
2018	금천구	47	28	19	20.4	23.9	16.7
2018	영등포구	81	56	25	22.5	31.2	13.8
2018	동작구	85	57	28	21.8	30	14
2018	관악구	124	90	34	25.1	36.2	13.8
2018	서초구	73	47	26	17	22.9	11.6
2018	강남구	118	64	54	22	24.9	19.3
2018	송파구	104	70	34	15.8	22	10.1
2018	강동구	110	82	28	25.8	38.9	13
